x	p(x)
2	2
2,06	2,14425
2,12	2,287
2,18	2,42825
2,24	2,568
2,3	2,70625
2,36	2,843
2,42	2,97825
2,48	3,112
2,54	3,24425
2,6	3,375
2,66	3,50425
2,72	3,632
2,78	3,75825
2,84	3,883
2,9	4,00625
2,96	4,128
3,02	4,24825
3,08	4,367
3,14	4,48425
3,2	4,6
3,26	4,71425
3,32	4,827
3,38	4,93825
3,44	5,048
3,5	5,15625
3,56	5,263
3,62	5,36825
3,68	5,472
3,74	5,57425
3,8	5,675
3,86	5,77425
3,92	5,872
3,98	5,96825
4,04	6,063
4,1	6,15625
4,16	6,248
4,22	6,33825
4,28	6,427
4,34	6,51425
4,4	6,6
4,46	6,68425
4,52	6,767
4,58	6,84825
4,64	6,928
4,7	7,00625
4,76	7,083
4,82	7,15825
4,88	7,232
4,94	7,30425
5	7,375
5,06	7,44425
5,12	7,512
5,18	7,57825
5,24	7,643
5,3	7,70625
5,36	7,768
5,42	7,82825
5,48	7,887
5,54	7,94425
5,6	8
5,66	8,05425
5,72	8,107
5,78	8,15825
5,84	8,208
5,9	8,25625
5,96	8,303
6,02	8,34825
6,08	8,392
6,14	8,43425
6,2	8,475
6,26	8,51425
6,32	8,552
6,38	8,58825
6,44	8,623
6,5	8,65625
6,56	8,688
6,62	8,71825
6,68	8,747
6,74	8,77425
6,8	8,8
6,86	8,82425
6,92	8,847
6,98	8,86825
7,04	8,888
7,1	8,90625
7,16	8,923
7,22	8,93825
7,28	8,952
7,34	8,96425
7,4	8,975
7,46	8,98425
7,52	8,992
7,58	8,99825
7,64	9,003
7,7	9,00625
7,76	9,008
7,82	9,00825
7,88	9,007
7,94	9,00425
8	9
